val_acc,val_loss,train_acc,train_loss
0.0546875,2.3318305015563965,,
0.9644166827201843,0.11669602245092392,0.953125,0.1729602962732315
0.9729999899864197,0.09262748062610626,0.953125,0.12594962120056152
0.9745833277702332,0.07973822206258774,0.953125,0.1488625705242157
0.9764999747276306,0.07737718522548676,0.96875,0.1400415003299713
0.9789999723434448,0.0702938511967659,0.984375,0.03919564560055733
0.9764999747276306,0.07339261472225189,0.984375,0.10927247256040573
0.9785833358764648,0.07268790900707245,0.984375,0.06731624901294708
0.9794166684150696,0.07256554812192917,1.0,0.00777602382004261
0.9782500267028809,0.07547107338905334,0.984375,0.03949526324868202
0.9792500138282776,0.07177260518074036,0.984375,0.0300532728433609
0.9770833253860474,0.08504611253738403,0.984375,0.06080945208668709
0.9794166684150696,0.07174811512231827,0.984375,0.0342695489525795
0.9806666374206543,0.07004686444997787,0.984375,0.06368380784988403
0.9793333411216736,0.07742685079574585,0.96875,0.19963191449642181
0.981166660785675,0.07177353650331497,1.0,0.01268809475004673
0.9800000190734863,0.07361496239900589,0.984375,0.043674178421497345
0.981166660785675,0.07766920328140259,1.0,0.0026854730676859617
0.9799166917800903,0.07580755650997162,0.984375,0.025632746517658234
0.9789166450500488,0.0894501730799675,1.0,0.015183580107986927
0.981333315372467,0.07619613409042358,0.984375,0.030634978786110878
0.981166660785675,0.07348058372735977,0.984375,0.04529038816690445
0.9815833568572998,0.07530534267425537,1.0,0.0010690897470340133
0.9803333282470703,0.08061635494232178,1.0,0.0037900875322520733
