val_loss,train_loss
11045.537109375,
3036.99462890625,2996.239501953125
2460.727294921875,2330.89404296875
2223.85009765625,2395.4306640625
2114.406494140625,2115.810302734375
2076.365966796875,2055.815673828125
2028.5865478515625,1993.54541015625
1994.49169921875,2071.43115234375
1982.113037109375,1897.79052734375
1965.3653564453125,1974.9544677734375
1957.505615234375,1909.9454345703125
1941.3707275390625,1748.6444091796875
1931.453369140625,1889.862548828125
1914.5986328125,2037.1595458984375
1917.184326171875,1827.86181640625
1911.8380126953125,2004.27392578125
1905.3060302734375,1811.1507568359375
1898.9271240234375,1948.74609375
1896.00732421875,1923.11669921875
1913.100341796875,1890.4754638671875
1879.796142578125,1945.605224609375
1892.9276123046875,1837.0723876953125
1881.47265625,1815.8411865234375
1881.193359375,1982.20751953125
1882.125,1955.5400390625
1875.968505859375,1958.0654296875
1872.2679443359375,1981.8072509765625
1867.447021484375,1880.111083984375
1860.9888916015625,1982.6024169921875
1860.6336669921875,1771.85400390625
1867.88818359375,1843.940185546875
1850.5333251953125,1822.761962890625
1858.6953125,1869.120849609375
1850.3280029296875,1926.97216796875
1851.6710205078125,1763.3673095703125
1845.75732421875,1784.3984375
1848.666015625,1872.9510498046875
1844.0159912109375,1841.8798828125
1840.9808349609375,1843.5291748046875
1841.0269775390625,1925.5394287109375
1833.991943359375,1773.452392578125
1852.07177734375,1901.4764404296875
1841.91162109375,1780.3343505859375
1833.85595703125,1781.6134033203125
1839.0889892578125,1730.4814453125
1834.995361328125,1859.3740234375
1836.01953125,1942.41259765625
1841.872314453125,1898.517333984375
1833.9156494140625,1775.9564208984375
1822.5263671875,1880.2557373046875
1828.2213134765625,1810.651123046875
1824.557373046875,1796.643310546875
1820.9832763671875,1809.73193359375
1827.005859375,1823.073974609375
1820.8330078125,1672.5474853515625
1825.1629638671875,1836.6300048828125
1821.5284423828125,1825.8892822265625
1814.49365234375,1722.7730712890625
1818.43896484375,1713.2734375
1813.820556640625,1900.691162109375
1822.4449462890625,1869.251220703125
1814.5009765625,1765.371337890625
1816.1273193359375,1941.489990234375
1815.358642578125,1854.636474609375
1815.102783203125,1781.7093505859375
1816.114990234375,1697.97265625
1812.2362060546875,1789.9605712890625
1812.8360595703125,1674.73291015625
1816.702392578125,1676.45068359375
1817.2108154296875,1877.1920166015625
1816.30029296875,1823.7633056640625
1808.2373046875,1695.3076171875
1812.3836669921875,1843.0582275390625
1802.6746826171875,1803.37060546875
1812.7886962890625,1902.463623046875
1806.8736572265625,1769.0980224609375
1813.31005859375,1686.03125
1805.1910400390625,1801.740478515625
1815.36572265625,1851.5361328125
1805.2633056640625,1746.402587890625
1800.4715576171875,1773.3447265625
1799.97705078125,1848.3592529296875
1797.9312744140625,1594.6236572265625
1801.4456787109375,1817.3446044921875
1804.7186279296875,1724.02734375
1811.7877197265625,1845.29931640625
1801.133056640625,1760.849853515625
1800.9384765625,1836.38134765625
1802.151611328125,1835.677490234375
1800.7852783203125,1831.080322265625
1799.4931640625,1724.58837890625
1799.9638671875,1871.596435546875
1801.649658203125,1881.2371826171875
